# Curiosity,
Secret,attentive%100
Confidential,attentive%100
Controversial,attentive%100
Underground,attentive%100
What no one tells you,attentive%100
Have you heard,attentive%100
Cover-up,attentive%100
Forbidden,attentive%100
Banned,attentive%100
Behind the Scenes,attentive%100
Secret agenda,attentive%100
Secret plot,attentive%100
Insider,attentive%100
Off-the record,attentive%100
Blacklisted,attentive%100
Censored,attentive%100
Concealed,attentive%100
Confessions,attentive%100
Unbelievable,attentive%100
Covert,attentive%100
No one talks about,attentive%100
Hidden,attentive%100
underground,attentive%100
,
# Urgency,
Magical,
Instantly,
Missing Out,
Left behind,
Magnificent,
Miracle,
Most Important,
Profitable,
Proven,
Quick,
Remarkable,
Results,
Revolutionary,
Safe,
Save,
Sensational,
Should,
Startling,
Strongly agree/ recommend,
Strongly suggest,
Superb,
Superior,
Tremendous,
Truly,
Trustworthy,
Urge,
Worthwhile,
Deadline,
Limited,
Seize,
bargain,
Discount,
Explode,
Extra,
Fortune,
Freebie,
Jackpot,
Reduced,
Instant Savings,
Skyrocket,
Immediately,
Imminently ,
,
# Confusion,
doubtful,
uncertain,
indecisive,
perplexed,
embarrassed,
hesitant,
disillusioned,
distrustful,
misgiving,
unsure,
tense,
stressed,
uncomfortable,
dishonest,
disdainful,
manipulative,
judgmental,
argumentative,
authoritative,
condescending,
distracted,
disoriented,
off-kilter,
frenzied,
blushing,
awkward,
incapable,
paralyzed,
fatigued,
inferior,
vulnerable,
distressed,
pathetic,
distraught,
doomed,
overwhelmed,
incompetent,
incapacitated,
trapped,
squirming,
jittery,
woozy,
twitching,
compulsive,
uncaring,
uninterested,
unresponsive,
terrified,
suspicious,
anxious,
alarmed,
panicked,
threatened,
cowardly,
insecure,
Deceived ,
Helplessness,
Disempowered,
,
#Anger,frustrated%100
Ordeal,frustrated%100
Outrageousness,frustrated%100
Provoke,frustrated%100
Repulsive,frustrated%100
Scandal,frustrated%100
Severe,frustrated%100
Shameful,frustrated%100
Shocking,frustrated%100
Terrible,frustrated%100
Tragic,frustrated%100
Unreliable,frustrated%100
Unstable,frustrated%100
Wicked,frustrated%100
Aggravate,frustrated%100
Agony,frustrated%100
Appalled,frustrated%100
Atrocious,frustrated%100
Corrupting,frustrated%100
Damaging,frustrated%100
Deplorable,frustrated%100
Disadvantages,frustrated%100
Disastrous,frustrated%100
Disgusted,frustrated%100
Dreadful,frustrated%100
Eliminate,frustrated%100
Harmful,frustrated%100
Harsh,frustrated%100
Inconsiderate,frustrated%100
enraged,frustrated%100
offensive,frustrated%100
aggressive,frustrated%100
frustrated,frustrated%100
controlling,frustrated%100
resentful,frustrated%100
malicious,frustrated%100
infuriated,frustrated%100
critical,frustrated%100
violent,frustrated%100
vindictive,frustrated%100
sadistic,frustrated%100
spiteful,frustrated%100
furious,frustrated%100
agitated,frustrated%100
antagonistic,frustrated%100
repulsed,frustrated%100
quarrelsome,frustrated%100
venomous,frustrated%100
rebellious,frustrated%100
exasperated,frustrated%100
impatient,frustrated%100
contrary,frustrated%100
condemning,frustrated%100
seething,frustrated%100
scornful,frustrated%100
sarcastic,frustrated%100
poisonous,frustrated%100
jealous,frustrated%100
ticked off,frustrated%100
revengeful,frustrated%100
retaliating,frustrated%100
reprimanding,frustrated%100
powerless,frustrated%100
despicable,frustrated%100
self-hating,frustrated%100
desperate,frustrated%100
alienated,frustrated%100
pessimistic,frustrated%100
dejected,frustrated%100
vilified,frustrated%100
unjustified,frustrated%100
violated,frustrated%100
,
# Safe / Satisfied ,
Accurate,
instantly,
Advantage,
Always,
A cut above,
Bargain,
Certain,
Certainly,
Confident,
Convenient,
Definitely,
Delighted,
Easy,
Ecstatic,
Effective,
Emphasize,
Extremely,
Freedom,
Guaranteed,
Highly effective/ likely,
Introducing,
First ever,
Investment,
conscientious,
approving,
honored,
privileged,
adaptable,
relaxed,
Astonishing,
